"date","number","street","tickets"
2014-02-20,7900,"Lowry Ter",1
2014-02-20,5100,"Montezuma Pl",1
2014-02-20,5700,"Montezuma Rd",1
2014-02-20,7900,"Paseo Del Ocaso ",1
2014-02-20,8000,"Paseo Del Ocaso ",1
2014-02-20,1900,"Paseo Dorado ",1
2014-02-20,2200,"Paseo Dorado ",1
2014-02-20,2300,"Paseo Dorado ",1
2014-02-20,2000,"State St",1
2014-02-20,2300,"Via Rialto ",1
2014-02-21,300,"11Th Ave",1
2014-02-21,400,"11Th Ave",1
2014-02-21,1400,"9Th Ave",1
2014-02-21,1900,"Del Sur Blvd",1
2014-02-21,500,"E St",1
2014-02-21,1000,"India St",1
2014-02-21,100,"J St",1
2014-02-21,4600,"Ocean Blvd",1
2014-02-21,700,"Pacific Beach Dr",1
2014-02-21,700,"Reed Ave",1
2014-02-24,800,"10Th Ave",1
2014-02-24,1000,"15Th St",1
2014-02-24,700,"7Th Ave",1
2014-02-24,900,"7Th Ave",1
2014-02-24,600,"A St",1
2014-02-24,2100,"Alabama St",1
2014-02-24,500,"Ash St",1
2014-02-24,600,"Ash St",1
2014-02-24,1400,"B St",1
2014-02-24,1200,"Broadway ",1
2014-02-24,600,"Columbia St",1
2014-02-24,1000,"Columbia St",1
2014-02-24,600,"E St",1
2014-02-24,1200,"F St",1
2014-02-24,1300,"F St",1
2014-02-24,1100,"Front St",1
2014-02-24,1000,"G St",1
2014-02-24,1200,"India St",1
2014-02-24,600,"Island Ave",1
2014-02-24,1300,"Island Ave",1
2014-02-24,800,"Kettner Blvd",1
2014-02-24,900,"Kettner Blvd",1
2014-02-24,4700,"Lantana ",1
2014-02-24,4800,"Lantana ",1
2014-02-24,3900,"Louisiana Ave",1
